row_no,machine_id,status,reason,detail
0,04624,exported,,
0,04619,exported,,
0,04634,exported,,
0,04633,exported,,
0,04628,exported,,
0,04625,exported,,
0,04621,exported,,
0,04620,exported,,
0,04612,exported,,
0,04608,exported,,
0,04626,exported,,
0,04605,exported,,
0,04598,exported,,
0,04596,exported,,
0,04594,exported,,
0,04590,exported,,
0,04622,exported,,
0,04615,exported,,
0,04591,exported,,
0,04587,exported,,
0,04567,exported,,
0,04585,exported,,
0,04599,exported,,
0,04593,exported,,
0,04592,exported,,
0,04586,exported,,
0,04573,exported,,
0,04562,exported,,
0,04589,exported,,
0,04580,exported,,
0,04578,exported,,
0,04576,exported,,
0,04574,exported,,
0,04570,exported,,
0,04569,exported,,
0,04568,exported,,
0,04561,exported,,
0,04559,exported,,
0,04564,exported,,
0,04558,exported,,
0,04549,exported,,
0,04546,exported,,
0,04543,exported,,
0,04542,exported,,
0,04557,exported,,
0,04551,exported,,
0,04548,exported,,
0,04541,exported,,
0,04534,exported,,
0,04531,exported,,
0,04528,exported,,
0,04545,exported,,
0,04544,exported,,
0,04537,exported,,
0,04532,exported,,
0,04519,exported,,
0,04518,exported,,
0,04529,exported,,
0,04520,exported,,
0,04507,exported,,
0,04533,exported,,
0,04526,exported,,
0,04524,exported,,
0,04523,exported,,
0,04522,exported,,
0,04514,exported,,
0,04509,exported,,
0,04508,exported,,
0,04506,exported,,
0,04505,exported,,
0,04503,exported,,
0,04502,exported,,
0,04521,exported,,
0,04489,exported,,
0,04498,exported,,
0,04513,exported,,
0,04499,exported,,
0,04497,exported,,
0,04496,exported,,
0,04492,exported,,
0,04491,exported,,
0,04483,exported,,
0,04481,exported,,
0,04474,exported,,
0,04469,exported,,
0,04495,exported,,
0,04485,exported,,
0,04484,exported,,
0,04482,exported,,
0,04480,exported,,
0,04473,exported,,
0,04472,exported,,
0,04470,exported,,
0,04467,exported,,
0,04461,exported,,
0,04452,exported,,
0,04475,exported,,
0,04451,exported,,
0,04465,exported,,
0,04463,exported,,
0,04462,exported,,
0,04444,exported,,
0,04441,exported,,
0,04437,exported,,
0,04430,exported,,
0,04457,exported,,
0,04438,exported,,
0,04435,exported,,
0,04448,exported,,
0,04443,exported,,
0,04442,exported,,
0,04436,exported,,
0,04431,exported,,
0,04429,exported,,
0,04427,exported,,
0,04432,exported,,
0,04424,exported,,
0,04421,exported,,
0,04439,exported,,
0,04426,exported,,
0,04425,exported,,
0,04422,exported,,
0,04417,exported,,
0,04416,exported,,
0,04413,exported,,
0,04411,exported,,
0,04408,exported,,
0,04418,exported,,
0,04412,exported,,
0,04407,exported,,
0,04399,exported,,
0,04397,exported,,
0,04415,exported,,
0,04398,exported,,
0,04396,exported,,
0,04394,exported,,
0,04400,exported,,
0,04389,exported,,
0,04385,exported,,
0,04392,exported,,
0,04388,exported,,
0,04384,exported,,
0,04381,exported,,
0,04379,exported,,
0,04364,exported,,
0,04380,exported,,
0,04373,exported,,
0,04371,exported,,
0,04370,exported,,
0,04363,exported,,
0,04359,exported,,
0,04358,exported,,
0,04377,exported,,
0,04376,exported,,
0,04353,exported,,
0,04368,exported,,
0,04362,exported,,
0,04354,exported,,
0,04350,exported,,
0,04349,exported,,
0,04345,exported,,
0,04330,exported,,
0,04357,exported,,
0,04339,exported,,
0,04331,exported,,
0,04351,exported,,
